DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Bahia
Casos Prováveis por Microrregião IBGE de notific e Mês notificação
Período:2017
"Microrregião IBGE de notific";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"29001 Barreiras";5;11;25;13;48;39;20;3;3;8;3;3;181
"29002 Cotegipe";1;2;142;128;32;24;10;1;4;1;1;-;346
"29003 S Maria Vitória";10;8;29;20;19;5;1;3;4;3;4;10;116
"29004 Juazeiro";9;4;7;6;2;5;5;15;10;6;2;-;71
"29005 Paulo Afonso";1;1;1;2;2;3;3;2;1;-;-;1;17
"29006 Barra";2;3;4;2;18;16;7;2;2;-;-;4;60
"29007 B Jesus da Lapa";3;-;-;2;1;6;-;4;-;1;5;5;27
"29008 Senhor Bonfim";15;13;24;13;12;1;5;6;5;3;4;-;101
"29009 Irecê";8;4;31;11;14;6;4;4;3;2;4;1;92
"29010 Jacobina";10;6;10;10;15;5;2;-;6;7;3;1;75
"29011 Itaberaba";29;409;194;35;70;46;42;13;1;4;1;10;854
"29012 F Santana";20;18;18;13;28;14;7;35;33;18;10;24;238
"29013 Jeremoabo";-;-;-;1;1;-;-;-;-;-;-;-;2
"29014 Euclides Cunha";2;1;2;-;-;-;1;1;-;1;1;-;9
"29015 Ribeira Pombal";-;-;1;1;2;1;1;18;5;4;2;8;43
"29016 Serrinha";10;13;8;19;32;24;25;8;10;9;4;9;171
"29017 Alagoinhas";3;-;2;1;-;1;4;3;6;2;2;-;24
"29018 Entre Rios";1;-;-;-;-;-;-;-;1;-;-;-;2
"29019 Catu";1;-;2;3;-;2;-;1;-;-;-;-;9
"29020 S Antônio Jesus";5;6;8;5;4;-;-;1;-;-;1;3;33
"29021 Salvador";251;166;261;343;297;204;320;234;152;175;147;168;2718
"29022 Boquira";4;9;17;5;5;1;1;-;2;-;2;2;48
"29023 Seabra";-;1;3;1;1;1;1;1;1;1;-;2;13
"29024 Jequié";26;5;26;25;31;15;16;4;1;4;5;4;162
"29025 Livr.Brumado";-;1;2;-;11;1;1;-;-;1;-;-;17
"29026 Guanambi";3;1;3;6;2;1;1;-;-;1;1;1;20
"29027 Brumado";11;5;9;4;-;-;-;-;-;1;-;-;30
"29028 Vit.Conquista";248;134;54;54;58;20;6;3;13;16;12;8;626
"29029 Itapetinga";6;12;14;1;4;3;1;-;-;-;1;1;43
"29030 Valença";2;1;5;-;2;-;-;-;-;-;-;-;10
"29031 Ilhéus-Itabuna";336;197;284;196;145;85;54;60;45;67;54;31;1554
"29032 Porto Seguro";1063;531;219;157;143;94;44;35;19;11;13;19;2348
"Total";2085;1562;1405;1077;999;623;582;457;327;346;282;315;10060
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
